case_id,title,description,evidence_type,status,created_by,assigned_to,storage_path,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
7e2bb549-4e67-48fe-ba6a-8c2d44e35f11,Narcotics Seizure Kit — CR-2026-DET-299,"Physical evidence including seized substances, packaging materials, and transport vehicle documentation for CR-2026-DET-299.",physical,Pending,Inspector Ganesh Haldipur,,/evidence/7e2bb549-4e67-48fe-ba6a-8c2d44e35f11/physical_packet,demo,,,,006c2124-693f-4864-98f8-acf1cec88486,2026-08-29 12:45:08,2026-08-29 12:45:08
35c7de15-3727-4e72-94e1-f7b47a9d60fd,Narcotics Seizure Kit — CR-2026-DET-139,"Physical evidence including seized substances, packaging materials, and transport vehicle documentation for CR-2026-DET-139.",physical,Pending,Sub-Inspector Nagesh Kori,,/evidence/35c7de15-3727-4e72-94e1-f7b47a9d60fd/physical_packet,demo,,,,008ffbc0-534a-4030-853f-18d8e0034e3d,2026-08-29 12:45:07,2026-08-29 12:45:07
4426bc25-e5fb-426f-8d50-679cfc5da621,Mining Violation Records — CR-2026-DET-106,"Satellite imagery, transit manifests, and forged permits for illegal mining case CR-2026-DET-106.",document,Under Analysis,Sub-Inspector Venkatesh Kulkarni,,/evidence/4426bc25-e5fb-426f-8d50-679cfc5da621/document_packet,demo,,,,015c8e9a-e741-458c-b171-7552817e50e2,2026-08-29 12:45:07,2026-08-29 12:45:07
efda7455-38e7-4356-8001-2c8c4dea4f99,Narcotics Seizure Kit — CR-2026-DET-227,"Physical evidence including seized substances, packaging materials, and transport vehicle documentation for CR-2026-DET-227.",physical,Under Analysis,Sub-Inspector Mallikarjun Swamy,,/evidence/efda7455-38e7-4356-8001-2c8c4dea4f99/physical_packet,demo,,,,0377d597-c3ad-4f6a-965a-11c7cae3362e,2026-08-29 12:45:08,2026-08-29 12:45:08
8b69f6f9-d0f8-4baa-8b11-f7c34519a4eb,Case Evidence — CR-2026-DET-082,Supporting documentation and evidence for CR-2026-DET-082.,document,Under Analysis,Sub-Inspector Yashoda Patil,,/evidence/8b69f6f9-d0f8-4baa-8b11-f7c34519a4eb/document_packet,demo,,,,03fcc88d-4ac5-4940-ae3c-e0098205ba13,2026-08-29 12:45:07,2026-08-29 12:45:07
9fe6477f-a499-4e07-9862-f96059c28999,Burglary Evidence Packet — CR-2026-DET-273,"Physical evidence including tool marks, fingerprints, and stolen property inventory for CR-2026-DET-273.",physical,Under Analysis,Sub-Inspector Manjunath Reddy,,/evidence/9fe6477f-a499-4e07-9862-f96059c28999/physical_packet,demo,,,,050a7cd2-5dc5-418c-9445-dc830eb074b7,2026-08-29 12:45:08,2026-08-29 12:45:08
7e0575ff-38a6-4530-adb1-3abbdf59260e,Case Evidence — CR-2026-DET-289,Supporting documentation and evidence for CR-2026-DET-289.,document,Under Analysis,Inspector Virupakshi Hallur,,/evidence/7e0575ff-38a6-4530-adb1-3abbdf59260e/document_packet,demo,,,,05317ab5-7948-4198-bf14-6882c9955f9e,2026-08-29 12:45:08,2026-08-29 12:45:08
b08a6b5b-647e-4aa3-b791-3cb404b65f4f,Digital Forensics — CR-2026-DET-152,"Digital evidence including device images, network logs, and transaction records for CR-2026-DET-152.",digital,Analyzed,Sub-Inspector Venkatesh Kulkarni,,/evidence/b08a6b5b-647e-4aa3-b791-3cb404b65f4f/digital_packet,demo,,,,06de826c-4dac-4bf7-aa39-ea4c3cdc5be4,2026-08-29 12:45:08,2026-08-29 12:45:08
657d9afd-d7c1-48ff-a48c-2ef7f3e2d52c,Narcotics Seizure Kit — CR-2026-DET-122,"Physical evidence including seized substances, packaging materials, and transport vehicle documentation for CR-2026-DET-122.",physical,Under Analysis,Inspector Kiran Bhat,,/evidence/657d9afd-d7c1-48ff-a48c-2ef7f3e2d52c/physical_packet,demo,,,,0737b2d2-f63a-4711-87be-87d0c70568e6,2026-08-29 12:45:07,2026-08-29 12:45:07
ce291f42-fa02-45ef-842d-04310d74a733,Narcotics Seizure Kit — CR-2026-DET-207,"Physical evidence including seized substances, packaging materials, and transport vehicle documentation for CR-2026-DET-207.",physical,Under Analysis,Sub-Inspector Anitha Kulkarni,,/evidence/ce291f42-fa02-45ef-842d-04310d74a733/physical_packet,demo,,,,07ea4100-c582-4278-abcd-62a034c7b6d6,2026-08-29 12:45:08,2026-08-29 12:45:08
