user_id,sender_id,subject,notification_type,category,title,message,severity,priority,status,resource_type,resource_id,related_case_number,related_fir_number,is_read,is_dismissed,is_broadcast,parent_id,attachment_url,created_at,read_at,acknowledged_at,resolved_at,id
,5120413d-57fd-47ad-9128-2a5b8dd553d8,Narcotics Seizure Report — Mangaluru Harbor,case_update,case_update,Seizure Report Filed,Detailed narcotics seizure report for the Mangaluru Harbor operation has been compiled. 2.4 kg synthetic MDMA recovered. Forensic lab results pending.,high,high,unread,,,CR-2026-MNG-001,FIR-331/MNG/2026,false,false,true,,,2026-08-29 11:15:08,,,,0ff89c78-6a91-4c58-add7-fc302c96118b
5120413d-57fd-47ad-9128-2a5b8dd553d8,3239a101-0f4f-4296-95b8-c4e3ffd52129,Evidence Chain Verification Required,evidence_request,evidence_request,Chain of Custody Verification — CR-2026-MYS-001,Evidence packet for CR-2026-MYS-001 requires chain of custody verification. Physical evidence from Devaraja Market Zone must be cross-referenced with digital timestamps. Deadline: 48 hours.,medium,medium,unread,,,CR-2026-MYS-001,FIR-789/MYS/2026,false,false,false,,,2026-08-29 14:15:08,,,,1b082cdc-3589-4c3e-9d38-056b1d8d6472
3f9809ed-0a95-4e49-9e59-7e735e8b53df,3239a101-0f4f-4296-95b8-c4e3ffd52129,AI Hotspot Prediction Generated — 3 Emerging Zones,intelligence_sharing,intelligence_sharing,Hotspot Predictions Ready for Review,AI model has identified three emerging crime hotspots in Bengaluru Urban requiring review. Predictions are based on 31-feature LightGBM analysis. See dashboard for detailed overlay.,medium,medium,acknowledged,,,,,true,false,false,,,2026-08-29 12:15:08,2026-08-29 13:15:08,2026-08-29 14:15:08,,334076ff-f332-40fb-aa25-29b0c7b01006
3239a101-0f4f-4296-95b8-c4e3ffd52129,54b9c0a7-67b1-4905-aa2f-561de661cd57,Weekly Intelligence Brief — District Overview,intelligence_sharing,intelligence_sharing,Weekly Intelligence Summary,"Weekly intelligence brief for all districts is now available. Key highlights: 3 new hotspots identified, 2 gang networks mapped, 15% reduction in property crimes in Mysuru division.",low,low,read,,,,,true,false,false,,,2026-08-28 18:15:08,2026-08-28 19:15:08,,,429ddb5c-e887-49c9-9eaa-5072de474d41
5120413d-57fd-47ad-9128-2a5b8dd553d8,3f9809ed-0a95-4e49-9e59-7e735e8b53df,Officer Badge Update,administrative,administrative,Badge Configuration Updated,Your officer badge profile has been updated with the latest certification. All access permissions have been synchronized.,low,low,read,,,,,true,false,false,,,2026-08-27 18:15:08,2026-08-27 19:15:08,,,550762a3-71cd-46f5-897a-e3a215691168
5120413d-57fd-47ad-9128-2a5b8dd553d8,3239a101-0f4f-4296-95b8-c4e3ffd52129,Gang activity detected in Whitefield Sector-4,intelligence_sharing,intelligence_sharing,Gang Activity Alert — Whitefield,Recent analytics indicate repeated movement of suspects associated with CR-2026-BNG-001. Increase patrol frequency and verify CCTV feeds in Sector-4 between 22:00–04:00.,high,high,unread,,,CR-2026-BNG-001,,false,false,false,,,2026-08-29 16:15:08,,,,5b677a26-931a-4ace-abe5-18fee1bce830
3239a101-0f4f-4296-95b8-c4e3ffd52129,5120413d-57fd-47ad-9128-2a5b8dd553d8,Evidence Uploaded for CR-2026-MYS-001,case_update,evidence_request,CCTV Footage & Witness Statements Ready,Digital CCTV footage from Devaraja Market Zone and three witness statements have been uploaded for CR-2026-MYS-001. Please review for pattern analysis.,medium,medium,read,,,CR-2026-MYS-001,FIR-789/MYS/2026,true,false,false,,,2026-08-29 13:15:08,2026-08-29 14:15:08,,,61c83c29-4d27-441a-b05b-d775f53d5d46
54b9c0a7-67b1-4905-aa2f-561de661cd57,5120413d-57fd-47ad-9128-2a5b8dd553d8,Request for Additional Cyber Forensic Personnel,case_escalation,case_escalation,Cyber Forensic Support Required — CR-2026-BNG-001,The investigation into CR-2026-BNG-001 requires dedicated cyber forensic support. Current evidence analysis has identified complex digital trails that need specialized extraction. Requesting immediate assignment of a cyber forensic unit.,high,high,unread,,,CR-2026-BNG-001,FIR-045/BNG/2026,false,false,false,,,2026-08-29 15:15:08,,,,694e50d7-3e4a-48db-b716-84e182c665b0
3239a101-0f4f-4296-95b8-c4e3ffd52129,,Harbor Surveillance Anomaly — Mangaluru,intelligence_sharing,intelligence_sharing,Unusual Vessel Activity Detected,Coastal surveillance cameras flagged unregistered vessel near Old Port at 02:15. Cross-reference with CR-2026-MNG-001 suspect network. Requesting satellite tracking support.,high,high,unread,,,CR-2026-MNG-001,FIR-331/MNG/2026,false,false,false,,,2026-08-29 17:15:08,,,,ab646a21-ca76-4ebe-8c67-183dcd16b122
3239a101-0f4f-4296-95b8-c4e3ffd52129,5120413d-57fd-47ad-9128-2a5b8dd553d8,Suspect Movement Tracked — Mysuru Division,intelligence_sharing,intelligence_sharing,Real-Time Suspect Tracking Update,Vehicle registration KA-09-M-4412 linked to Vikram Yadav was flagged at KR Puram Transit Corridor at 14:32. CCTV capture forwarded. Requesting SCRB analysis of route patterns.,high,high,read,,,CR-2026-BNG-001,FIR-052/BNG/2026,true,false,false,,,2026-08-29 08:15:08,2026-08-29 09:15:08,,,acb2e6e2-abdb-4724-ab07-98178c73e88e
